"otu.names" "fVals" "pVals" "estimates" "SE" "CIlower" "CIupper" "W_stat" "detected_0.95" "detected_0.9" "detected_0.8" "detected_0.7" "detected_0.6" "ASV" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species" "St"
"1" "02991c28233f32164d60d4a6ee2cd37d" 0.883647739024255 0.359002829416708 -1.03936541617392 1.105678021237 -3.35357611105354 1.2748452787057 0 FALSE FALSE FALSE FALSE FALSE "X02991c28233f32164d60d4a6ee2cd37d" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Family_Burkholderiaceae" "Family_Burkholderiaceae" "day20_25"
"2" "02b4cbe5c2955ab2f66dc82cdf6dad64" 3.8577755514002 0.0643160237568794 -1.54268681877576 0.785433264680151 -3.18661753488376 0.101243897332244 0 FALSE FALSE FALSE FALSE FALSE "X02b4cbe5c2955ab2f66dc82cdf6dad64" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Aquabacterium" "Genus_Aquabacterium" "day20_25"
"3" "04046dd6d82a6e86d22cf8d591fa8158" 0.690262131015699 0.416393925272935 0.306994951659694 0.369508310042921 -0.466394829563903 1.08038473288329 0 FALSE FALSE FALSE FALSE FALSE "X04046dd6d82a6e86d22cf8d591fa8158" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Family_Burkholderiaceae" "Family_Burkholderiaceae" "day20_25"
"4" "04750b35999a335ee206ca2372289b68" 2.79122428719885 0.111172757377748 -1.70811223943307 1.02239575338898 -3.84801114440111 0.431786665534964 0 FALSE FALSE FALSE FALSE FALSE "X04750b35999a335ee206ca2372289b68" "Bacteria" "Bacteroidetes" "Bacteroidia" "Sphingobacteriales" "ST-12K33" "uncultured bacterium" "uncultured bacterium" "day20_25"
"5" "04ecfad5772d2e09a84a0f5ef460536c" 1.55324206065173 0.227805395597979 -1.16005016255515 0.930801764860223 -3.10824064629331 0.788140321183 0 FALSE FALSE FALSE FALSE FALSE "X04ecfad5772d2e09a84a0f5ef460536c" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Beijerinckiaceae" "Methylobacterium" "Genus_Methylobacterium" "day20_25"
"6" "06f311750a537fbc1fe2ca8225eacf23" 3.43458784909213 0.0794401068549275 -1.81874851716198 0.981375784817016 -3.87279164119783 0.235294606873869 0 FALSE FALSE FALSE FALSE FALSE "X06f311750a537fbc1fe2ca8225eacf23" "Bacteria" "Verrucomicrobia" "Verrucomicrobiae" "Pedosphaerales" "Pedosphaeraceae" "uncultured verrucomicrobium DEV064" "uncultured verrucomicrobium DEV064" "day20_25"
"7" "072210f8b225539f1c1e294d7405faa8" 0.255321804228391 0.619163709006163 0.497512655171936 0.98460079016481 -1.56328048263244 2.55830579297631 0 FALSE FALSE FALSE FALSE FALSE "X072210f8b225539f1c1e294d7405faa8" "Bacteria" "Deinococcus-Thermus" "Deinococci" "Deinococcales" "Deinococcaceae" "Deinococcus" "Deinococcus sp. N3" "day20_25"
"8" "082cfbabad5293e807fc7d8dab68e476" 2.78391840554721 0.11161099150401 1.37396155153505 0.823467244338688 -0.34957519888315 3.09749830195325 0 FALSE FALSE FALSE FALSE FALSE "X082cfbabad5293e807fc7d8dab68e476" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Pseudomonadales" "Moraxellaceae" "uncultured" "metagenome" "day20_25"
"9" "0aa9c9c8cb02df0fcbd4507e073e5aea" 0.03444264449288 0.854735320023 0.191719367643732 1.03304143990046 -1.97046121526852 2.35389995055599 0 FALSE FALSE FALSE FALSE FALSE "X0aa9c9c8cb02df0fcbd4507e073e5aea" "Bacteria" "Actinobacteria" "Actinobacteria" "Propionibacteriales" "Nocardioidaceae" "Marmoricola" "uncultured bacterium" "day20_25"
"10" "0b60e65624fab50047f1eb1eb04002d1" 0.395347796318837 0.53698827490102 0.50634409740417 0.805297017177258 -1.17916193049109 2.19185012529943 0 FALSE FALSE FALSE FALSE FALSE "X0b60e65624fab50047f1eb1eb04002d1" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "NS9 marine group" "uncultured Bacteroidetes bacterium" "uncultured Bacteroidetes bacterium" "day20_25"
"11" "0d2ad6c8a4b9eddb8383d3b1fdd247f4" 0.933381560130789 0.34612302025977 0.947391409265324 0.980617939419879 -1.10506552612479 2.99984834465544 0 FALSE FALSE FALSE FALSE FALSE "X0d2ad6c8a4b9eddb8383d3b1fdd247f4" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "Genus_Flavobacterium" "day20_25"
"12" "0d989d155d117292c5198a2ac218a97f" 0.00371477408361538 0.95203642482434 -0.0607719011615179 0.997095185681786 -2.14771610932822 2.02617230700518 0 FALSE FALSE FALSE FALSE FALSE "X0d989d155d117292c5198a2ac218a97f" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Xanthomonadales" "Xanthomonadaceae" "Luteimonas" "Genus_Luteimonas" "day20_25"
"13" "0e47b1c8584c7a957e4ec39127224c0f" 1.93096569049792 0.180722762379851 -1.46619823572612 1.05512864589867 -3.67460787208729 0.742211400635054 0 FALSE FALSE FALSE FALSE FALSE "X0e47b1c8584c7a957e4ec39127224c0f" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "Genus_Novosphingobium" "day20_25"
"14" "0fa078026bc8df81d4d89eab4a2e93fc" 0.00189043300239713 0.965773308320993 -0.033728396622874 0.775737972983172 -1.6573666339946 1.58990984074885 0 FALSE FALSE FALSE FALSE FALSE "X0fa078026bc8df81d4d89eab4a2e93fc" "Bacteria" "Planctomycetes" "Planctomycetacia" "Pirellulales" "Pirellulaceae" "Pirellula" "Genus_Pirellula" "day20_25"
"15" "11d87ac25ec8431c1979f2151c92503d" 0.106358568282844 0.74789328627597 0.39121972276628 1.19959459336409 -2.1195606166829 2.90200006221546 0 FALSE FALSE FALSE FALSE FALSE "X11d87ac25ec8431c1979f2151c92503d" "Bacteria" "Bacteroidetes" "Bacteroidia" "Bacteroidales" "Marinilabiliaceae" "Carboxylicivirga" "Genus_Carboxylicivirga" "day20_25"
"16" "1522964ac2df50a3159a5ced2d2ae85e" 0.102007630741864 0.752918555064703 -0.238604964895443 0.747073180759246 -1.80224710262787 1.32503717283699 0 FALSE FALSE FALSE FALSE FALSE "X1522964ac2df50a3159a5ced2d2ae85e" "Bacteria" "Bacteroidetes" "Bacteroidia" "Chitinophagales" "Saprospiraceae" "uncultured" "uncultured bacterium" "day20_25"
"17" "154485e5a0e47ba32ebf4405c7984bce" 0.574917364349474 0.457614193004561 0.702240037520406 0.926153289824507 -1.23622107615168 2.64070115119249 0 FALSE FALSE FALSE FALSE FALSE "X154485e5a0e47ba32ebf4405c7984bce" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "Genus_Novosphingobium" "day20_25"
"18" "171ffb0510e09fa6ddf1a2b33bb4ca58" 0.00138692788949928 0.970680971854194 -0.0356412316201323 0.957030464119871 -2.03872901382457 1.96744655058431 0 FALSE FALSE FALSE FALSE FALSE "X171ffb0510e09fa6ddf1a2b33bb4ca58" "Bacteria" "Armatimonadetes" "Armatimonadia" "Armatimonadales" "metagenome" "metagenome" "metagenome" "day20_25"
"19" "18398b81d9ee9682a02741fc86dc7e8a" 0.853337603899126 0.367193523239559 0.484086954633524 0.524038189150523 -0.612737580687092 1.58091148995414 0 FALSE FALSE FALSE FALSE FALSE "X18398b81d9ee9682a02741fc86dc7e8a" "Bacteria" "Bacteroidetes" "Bacteroidia" "Cytophagales" "Microscillaceae" "uncultured" "uncultured bacterium" "day20_25"
"20" "1b98b00b0fc819488d76aa0c09d57bcc" 0.774061551277497 0.389956021258308 0.909069094728861 1.03325887789755 -1.25356659114165 3.07170478059938 0 FALSE FALSE FALSE FALSE FALSE "X1b98b00b0fc819488d76aa0c09d57bcc" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "Weeksellaceae" "Elizabethkingia" "Ambiguous_taxa" "day20_25"
"21" "1c2b8892a0d7f828d72808cd01cfd199" 0.53770002605988 0.472338805446158 -0.667378039096659 0.910126757682603 -2.57229523548699 1.23753915729367 0 FALSE FALSE FALSE FALSE FALSE "X1c2b8892a0d7f828d72808cd01cfd199" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Devosiaceae" "Devosia" "Genus_Devosia" "day20_25"
"22" "1cf57c7db4daf3401cd9a347cf409062" 0.0207565973557474 0.886961157628939 0.163502171277601 1.1348682447158 -2.2118043634967 2.5388087060519 0 FALSE FALSE FALSE FALSE FALSE "X1cf57c7db4daf3401cd9a347cf409062" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Leeiaceae" "Leeia" "Ambiguous_taxa" "day20_25"
"23" "1d1d68c0261030f6885f385754f10174" 0.0299479070804662 0.864438739198423 -0.166604169720091 0.962725838853401 -2.18161250824068 1.8484041688005 0 FALSE FALSE FALSE FALSE FALSE "X1d1d68c0261030f6885f385754f10174" "Bacteria" "Bacteroidetes" "Bacteroidia" "Flavobacteriales" "Flavobacteriaceae" "Flavobacterium" "Genus_Flavobacterium" "day20_25"
"24" "1ddc8a4694ed56884c16d791174a6390" 0.858184771707858 0.365865574036161 -0.893948124528604 0.96498800649064 -2.91369123432903 1.12579498527183 0 FALSE FALSE FALSE FALSE FALSE "X1ddc8a4694ed56884c16d791174a6390" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Rhizobiaceae" "Ensifer" "Genus_Ensifer" "day20_25"
"25" "1e853f222ba2f01f1da8ca09d868fd8a" 0.332621644422167 0.570889885932151 0.336649928086631 0.583718251486927 -0.885086413272667 1.55838626944593 0 FALSE FALSE FALSE FALSE FALSE "X1e853f222ba2f01f1da8ca09d868fd8a" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Acetobacterales" "Acetobacteraceae" "Family_Acetobacteraceae" "Family_Acetobacteraceae" "day20_25"
"26" "20b2a1cd685acf58314fb59252a14448" 0.544497646709027 0.46959112458667 -0.516868583240282 0.700458051581741 -1.98294413430484 0.949206967824278 0 FALSE FALSE FALSE FALSE FALSE "X20b2a1cd685acf58314fb59252a14448" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Novosphingobium" "Genus_Novosphingobium" "day20_25"
"27" "20b3df08cd5fac2be26a2928155bab69" 0.443967304891397 0.51322375309617 0.709183668194754 1.0643469780088 -1.51852015901446 2.93688749540397 0 FALSE FALSE FALSE FALSE FALSE "X20b3df08cd5fac2be26a2928155bab69" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Achromobacter" "Genus_Achromobacter" "day20_25"
"28" "20b5ea78ab5a94f91077c1ddae9c7d9e" 1.4430321494186 0.24441035662113 0.636313547035912 0.529703894492399 -0.472369445850441 1.74499653992226 0 FALSE FALSE FALSE FALSE FALSE "X20b5ea78ab5a94f91077c1ddae9c7d9e" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Nitrosomonadaceae" "MND1" "Ambiguous_taxa" "day20_25"
"29" "20dcf3ba9273c8f7554908a849a903fe" 0.966728217818194 0.337853044845371 1.40824724048493 1.43227598840937 -1.58954085580733 4.40603533677718 0 FALSE FALSE FALSE FALSE FALSE "X20dcf3ba9273c8f7554908a849a903fe" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "Comamonas" "Genus_Comamonas" "day20_25"
"30" "225671ed33a06c9e372cb09428c37ff1" 0.0102739350865253 0.920326371237767 0.0949319985211911 0.936578567177732 -1.86534947142507 2.05521346846745 0 FALSE FALSE FALSE FALSE FALSE "X225671ed33a06c9e372cb09428c37ff1" "Bacteria" "Actinobacteria" "Actinobacteria" "Micrococcales" "Intrasporangiaceae" "Family_Intrasporangiaceae" "Family_Intrasporangiaceae" "day20_25"
"31" "22cdb8de4aea60f0713d7a1f35c86e29" 1.33987664153051 0.26140075912545 -1.20302528521282 1.03930339855918 -3.37831229822549 0.972261727799854 0 FALSE FALSE FALSE FALSE FALSE "X22cdb8de4aea60f0713d7a1f35c86e29" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Sphingomonadales" "Sphingomonadaceae" "Family_Sphingomonadaceae" "Family_Sphingomonadaceae" "day20_25"
"32" "2404a99f94ffdbbdb5cbb609aec724ed" 0.805098895460732 0.380802421234193 -0.837915406675746 0.933846639772762 -2.79247888684851 1.11664807349702 0 FALSE FALSE FALSE FALSE FALSE "X2404a99f94ffdbbdb5cbb609aec724ed" "Bacteria" "Proteobacteria" "Alphaproteobacteria" "Rhizobiales" "Devosiaceae" "Family_Devosiaceae" "Family_Devosiaceae" "day20_25"
"33" "245b2aa3f0304ce3a64102493b4261a1" 1.42656679888702 0.247023785161363 -1.03945168998136 0.870278498016412 -2.86096552036404 0.782062140401326 0 FALSE FALSE FALSE FALSE FALSE "X245b2aa3f0304ce3a64102493b4261a1" "Bacteria" "Bacteroidetes" "Bacteroidia" "Cytophagales" "Spirosomaceae" "Emticicia" "Genus_Emticicia" "day20_25"
"34" "260081b2111589f6fbd9214b86a3001c" 1.45181745024104 0.24303058223362 -0.939071975992289 0.779368545884542 -2.57030908977786 0.692165137793283 0 FALSE FALSE FALSE FALSE FALSE "X260081b2111589f6fbd9214b86a3001c" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Betaproteobacteriales" "Burkholderiaceae" "AAP99" "Genus_AAP99" "day20_25"
